cluster	gene
SCZ	PLBD2
SCZ	PLCB2
SCZ	PLCG1
SCZ	PLCH1
SCZ	PLCH2
SCZ	PLCL1
SCZ	PLCL2
SCZ	PLEKHA7
SCZ	PLEKHB2
SCZ	PLEKHG5
SCZ	PLEKHJ1
SCZ	PLEKHO1
SCZ	PLK1S1
SCZ	PLXNA2
SCZ	PLXNA4
SCZ	PMS2CL
SCZ	PMVK
SCZ	POC1A
SCZ	POC1B
SCZ	POC1B-GALNT4
SCZ	POC5
SCZ	POGZ
SCZ	POLG
SCZ	POLL
SCZ	POLR1C
SCZ	POM121L2
SCZ	POMC
SCZ	POP7
SCZ	POTEE
SCZ	POU2F3
SCZ	POU5F1
SCZ	PPAPDC1B
SCZ	PPAPDC2
SCZ	PPARGC1A
SCZ	PPARGC1B
SCZ	PPDPF
SCZ	PPFIA3
SCZ	PPIL2
SCZ	PPIP5K1
SCZ	PPM1E
SCZ	PPM1F
SCZ	PPM1G
SCZ	PPM1M
SCZ	PPP1CB
SCZ	PPP1R11
SCZ	PPP1R13B
SCZ	PPP1R16B
SCZ	PPP1R18
SCZ	PPP1R3B
SCZ	PPP2R2A
SCZ	PPP2R2B
SCZ	PPP2R2B-IT1
SCZ	PPP2R3A
SCZ	PPP2R3C
SCZ	PPP2R5B
SCZ	PPP2R5E
SCZ	PPP3CC
SCZ	PPP6R3
SCZ	PPT2
SCZ	PPT2-EGFL8
SCZ	PPTC7
SCZ	PQLC1
SCZ	PRADC1
SCZ	PRDM14
SCZ	PREX2
SCZ	PRICKLE2
SCZ	PRIM2
SCZ	PRKCB
SCZ	PRKCD
SCZ	PRKCE
SCZ	PRKD1
SCZ	PRKD3
SCZ	PRKG1
SCZ	PRKG2
SCZ	PRMT5
SCZ	PRMT7
SCZ	PROCR
SCZ	PROX1
SCZ	PROX2
SCZ	PRPF3
SCZ	PRPF40A
SCZ	PRPSAP2
SCZ	PRR12
SCZ	PRRC2A
SCZ	PRRG2
SCZ	PRRT1
SCZ	PRSS16
SCZ	PRSS35
SCZ	PSCA
SCZ	PSD3
SCZ	PSIP1
SCZ	PSKH1
SCZ	PSMA4
SCZ	PSMA6
SCZ	PSMB10
SCZ	PSMB2
SCZ	PSMB3
SCZ	PSMB4
SCZ	PSMB8
SCZ	PSMB9
SCZ	PSMD11
SCZ	PSMD6
SCZ	PSMD6-AS2
SCZ	PSME4
SCZ	PSORS1C1
SCZ	PSORS1C2
SCZ	PSORS1C3
SCZ	PTBP2
SCZ	PTBP3
SCZ	PTGER3
SCZ	PTGIS
SCZ	PTK2
SCZ	PTK2B
SCZ	PTK6
SCZ	PTK7
SCZ	PTN
SCZ	PTP4A1
SCZ	PTPDC1
SCZ	PTPN14
SCZ	PTPRD
SCZ	PTPRF
SCZ	PTPRG
SCZ	PTPRK
SCZ	PTPRM
SCZ	PTPRN2
SCZ	PTPRR
SCZ	PTPRT
SCZ	PURA
SCZ	PUS7
SCZ	PVRL1
SCZ	PVT1
SCZ	PXDC1
SCZ	PXDNL
SCZ	PYCRL
SCZ	PYDC2
SCZ	PYGL
SCZ	PYGO2
SCZ	PYROXD2
SCZ	QKI
SCZ	QPCT
SCZ	R3HDM2
SCZ	RAB11FIP5
SCZ	RAB13
SCZ	RAB25
SCZ	RAB27A
SCZ	RAB2A
SCZ	RAB3IP
SCZ	RAB6B
SCZ	RAB8B
SCZ	RABGAP1L
SCZ	RABL2B
SCZ	RACGAP1P
SCZ	RAD54L2
SCZ	RAD9B
SCZ	RAG1
SCZ	RAI1
SCZ	RALBP1
SCZ	RALGPS1
SCZ	RANBP1
SCZ	RANBP10
SCZ	RANGAP1
SCZ	RAPGEF4
SCZ	RASA3
SCZ	RASGRP1
SCZ	RASSF8
SCZ	RBBP5
SCZ	RBFA
SCZ	RBFADN
SCZ	RBFOX1
SCZ	RBKS
SCZ	RBM14-RBM4
SCZ	RBM26
SCZ	RBM26-AS1
SCZ	RBM4
SCZ	RBM4B
SCZ	RBMS3
SCZ	RC3H1
SCZ	RCBTB1
SCZ	RCCD1
SCZ	RCE1
SCZ	RCN3
SCZ	RCOR2
SCZ	RELA
SCZ	RERE
SCZ	REV3L
SCZ	REXO1
SCZ	REXO4
SCZ	RFPL4B
SCZ	RFT1
SCZ	RFTN2
SCZ	RFWD2
SCZ	RFWD3
SCZ	RFXANK
SCZ	RGS2
SCZ	RGS5
SCZ	RGS6
SCZ	RHBDL3
SCZ	RILPL2
SCZ	RIMS1
SCZ	RIT1
SCZ	RLTPR
SCZ	RMND5A
SCZ	RNF103
SCZ	RNF103-CHMP3
SCZ	RNF111
SCZ	RNF112
SCZ	RNF113B
SCZ	RNF144A
SCZ	RNF144A-AS1
SCZ	RNF145
SCZ	RNF151
SCZ	RNF165
SCZ	RNF168
SCZ	RNF180
SCZ	RNF215
SCZ	RNF24
SCZ	RNF38
SCZ	RNF39
SCZ	RNF43
SCZ	RNF5
SCZ	ROBO2
SCZ	ROR2
SCZ	RORA
SCZ	RORB
SCZ	RPAP2
SCZ	RPGRIP1L
SCZ	RPL13
SCZ	RPL23
SCZ	RPL23AP32
SCZ	RPL23AP64
SCZ	RPL23AP82
SCZ	RPL3
SCZ	RPL3L
SCZ	RPP21
SCZ	RPRD2
SCZ	RPS13
SCZ	RPS15
SCZ	RPS17L
SCZ	RPS19BP1
SCZ	RPS2
SCZ	RPS21
SCZ	RPS25
SCZ	RPS27
SCZ	RPS27L
SCZ	RPS6KL1
SCZ	RPS7P5
SCZ	RPSAP52
SCZ	RPTOR
SCZ	RRAD
SCZ	RRAS
SCZ	RRBP1
SCZ	RRN3
SCZ	RSAD2
SCZ	RSRC2
SCZ	RTEL1-TNFRSF6B
SCZ	RTN1
SCZ	RTN4
SCZ	RUNDC3B
SCZ	RUSC2
SCZ	RUVBL1
SCZ	SAMD12-AS1
SCZ	SAMD3
SCZ	SATB2
SCZ	SBNO1
SCZ	SCAF1
SCZ	SCAMP1
SCZ	SCAND2P
SCZ	SCAND3
SCZ	SCAPER
SCZ	SCARA3
SCZ	SCARNA3
SCZ	SCARNA4
SCZ	SCG5
SCZ	SCGN
SCZ	SCN1A
SCZ	SCN5A
SCZ	SCRN3
SCZ	SDCBP2-AS1
SCZ	SDCCAG8
SCZ	SDK1
SCZ	SDS
SCZ	SEC11A
SCZ	SEC13
SCZ	SEC14L2
SCZ	SEC61A1
SCZ	SELENBP1
SCZ	SEMA3A
SCZ	SEMA3D
SCZ	SEMA4A
SCZ	SEMA4C
SCZ	SEMA6D
SCZ	SEPT10
SCZ	SEPT3
SCZ	SEPT4
SCZ	SEPT7
SCZ	SERF2
SCZ	SERF2-C15ORF63
SCZ	SERINC2
SCZ	SERINC4
SCZ	SERPINC1
SCZ	SERPING1
SCZ	SERPINI1
SCZ	SETD4
SCZ	SETD6
SCZ	SETD8
SCZ	SEZ6L2
SCZ	SF3A1
SCZ	SF3A2
SCZ	SF3B1
SCZ	SFMBT1
SCZ	SFPQ
SCZ	SFRP2
SCZ	SFTA2
SCZ	SFXN2
SCZ	SFXN5
SCZ	SGCD
SCZ	SGCE
SCZ	SGCZ
SCZ	SGK223
SCZ	SGTA
SCZ	SH3GL3
SCZ	SH3PXD2A
SCZ	SH3RF1
SCZ	SH3RF3
SCZ	SHANK2
SCZ	SHANK3
SCZ	SHC1
SCZ	SHISA6
SCZ	SHISA8
SCZ	SIAE
SCZ	SIPA1
SCZ	SIPA1L2
SCZ	SIPA1L3
SCZ	SIRPA
SCZ	SIRPB1
SCZ	SIRPB2
SCZ	SIRPD
SCZ	SIRPG
SCZ	SIT1
SCZ	SKAP1
SCZ	SKIV2L
SCZ	SKOR1
SCZ	SLAIN2
SCZ	SLAMF6
SCZ	SLC10A4
SCZ	SLC12A4
SCZ	SLC12A6
SCZ	SLC16A10
SCZ	SLC17A1
SCZ	SLC17A3
SCZ	SLC17A4
SCZ	SLC22A31
SCZ	SLC22A7
SCZ	SLC23A3
SCZ	SLC24A6
SCZ	SLC25A12
SCZ	SLC25A17
SCZ	SLC25A24
SCZ	SLC25A32
SCZ	SLC25A44
SCZ	SLC27A3
SCZ	SLC28A1
SCZ	SLC2A14
SCZ	SLC2A2
SCZ	SLC2A3
SCZ	SLC2A6
SCZ	SLC30A7
SCZ	SLC32A1
SCZ	SLC35A4
SCZ	SLC35F6
SCZ	SLC35G2
SCZ	SLC37A4
SCZ	SLC38A7
SCZ	SLC39A1
SCZ	SLC39A14
SCZ	SLC39A3
SCZ	SLC39A8
SCZ	SLC44A4
SCZ	SLC45A1
SCZ	SLC4A10
SCZ	SLC4A1AP
SCZ	SLC4A2
SCZ	SLC4A9
SCZ	SLC7A6
SCZ	SLC7A6OS
SCZ	SLC8A1-AS1
SCZ	SLC8A3
SCZ	SLC9A2
SCZ	SLC9B1
SCZ	SLC9B2
SCZ	SLCO2A1
SCZ	SLCO4C1
SCZ	SLCO6A1
SCZ	SLIT2
SCZ	SLX1A
SCZ	SLX1B-SULT1A4
SCZ	SMARCA5
SCZ	SMC5
SCZ	SMC6
SCZ	SMCR5
SCZ	SMCR7L
SCZ	SMDT1
SCZ	SMG6
SCZ	SMIM20
SCZ	SMPD3
SCZ	SMYD2
SCZ	SMYD5
SCZ	SNAP23
SCZ	SNAP91
SCZ	SNAPC3
SCZ	SND1
SCZ	SND1-IT1
SCZ	SNF8
SCZ	SNHG5
SCZ	SNHG9
SCZ	SNORA10
SCZ	SNORA12
SCZ	SNORA21
SCZ	SNORA28
SCZ	SNORA38
SCZ	SNORA42
SCZ	SNORA46
SCZ	SNORA50
SCZ	SNORA51
SCZ	SNORA64
SCZ	SNORA70B
SCZ	SNORA78
SCZ	SNORA79
SCZ	SNORD110
SCZ	SNORD117
SCZ	SNORD119
SCZ	SNORD19
SCZ	SNORD19B
SCZ	SNORD43
SCZ	SNORD44
SCZ	SNORD47
SCZ	SNORD50A
SCZ	SNORD50B
SCZ	SNORD63
SCZ	SNORD67
SCZ	SNORD68
SCZ	SNORD69
SCZ	SNORD74
SCZ	SNORD75
SCZ	SNORD76
SCZ	SNORD77
SCZ	SNORD78
SCZ	SNORD79
SCZ	SNORD80
SCZ	SNORD81
SCZ	SNORD84
SCZ	SNRNP200
SCZ	SNRNP40
SCZ	SNRNP70
SCZ	SNRPB
SCZ	SNTB2
SCZ	SNTG2
SCZ	SNX11
SCZ	SNX14
SCZ	SNX17
SCZ	SNX19
SCZ	SNX8
SCZ	SOCS4
SCZ	SORCS3
SCZ	SOWAHC
SCZ	SOX11
SCZ	SOX2-OT
SCZ	SOX5
SCZ	SOX6
SCZ	SOX7
SCZ	SP4
SCZ	SP9
SCZ	SPAG16
SCZ	SPATA19
SCZ	SPATA2L
SCZ	SPATA6L
SCZ	SPATS2L
SCZ	SPCS1
SCZ	SPDEF
SCZ	SPDYA
SCZ	SPECC1
SCZ	SPG7
SCZ	SPHKAP
SCZ	SPIRE2
SCZ	SPON2
SCZ	SPOPL
SCZ	SPPL2C
SCZ	SPPL3
SCZ	SPRYD4
SCZ	SPTBN1
SCZ	SPTBN2
SCZ	SPTLC1
SCZ	SPTSSB
SCZ	SRA1
SCZ	SREBF1
SCZ	SREBF2
SCZ	SRF
SCZ	SRMS
SCZ	SRP54
SCZ	SRPK2
SCZ	SRR
SCZ	SRRM4
SCZ	SRRT
SCZ	SRSF4
SCZ	SRSF6
SCZ	SSSCA1
SCZ	SSSCA1-AS1
SCZ	ST3GAL3
SCZ	ST6GALNAC3
SCZ	ST7L
SCZ	ST8SIA1
SCZ	STAB2
SCZ	STAG1
SCZ	STAP1
SCZ	STAR
SCZ	STARD13
SCZ	STARD9
SCZ	STAT6
SCZ	STAU1
SCZ	STK19
SCZ	STK31
SCZ	STK4
SCZ	STK4-AS1
SCZ	STMN3
SCZ	STON2
SCZ	STOX1
SCZ	STRC
SCZ	STRN
SCZ	STT3A
SCZ	STX16
SCZ	STX17
SCZ	SUCLG2
SCZ	SUFU
SCZ	SUGP1
SCZ	SUN2
SCZ	SUPT4H1
SCZ	SUPT7L
SCZ	SUSD1
SCZ	SYBU
SCZ	SYN2
SCZ	SYNCRIP
SCZ	SYNE1
SCZ	SYNGAP1
SCZ	SYT1
SCZ	SYT11
SCZ	SZT2
SCZ	TAB1
SCZ	TAOK2
SCZ	TAP1
SCZ	TAP2
SCZ	TAPBP
SCZ	TARS2
SCZ	TAS1R1
SCZ	TAT
SCZ	TBC1D10A
SCZ	TBC1D13
SCZ	TBC1D15
SCZ	TBC1D19
SCZ	TBC1D2
SCZ	TBC1D5
SCZ	TBL1XR1
SCZ	TBL3
SCZ	TBRG1
SCZ	TBX20
SCZ	TCEB3B
SCZ	TCEB3C
SCZ	TCEB3CL2
SCZ	TCF19
SCZ	TCF20
SCZ	TCF25
SCZ	TCF3
SCZ	TCF4
SCZ	TCTN3
SCZ	TDP2
SCZ	TECR
SCZ	TEKT2
SCZ	TENM2
SCZ	TENM3
SCZ	TERF2
SCZ	TESK1
SCZ	TESPA1
SCZ	TET3
SCZ	TFAP2B
SCZ	TFAP2E
SCZ	TFR2
SCZ	TGM5
SCZ	TGM6
SCZ	TGM7
SCZ	THAP11
SCZ	THAP3
SCZ	THOC7
SCZ	THOP1
SCZ	THRB
SCZ	TIAM1
SCZ	TIE1
SCZ	TIGD5
SCZ	TIMELESS
SCZ	TJAP1
SCZ	TKT
SCZ	TLE4
SCZ	TLR9
SCZ	TM6SF2
SCZ	TMC2
SCZ	TMCC2
SCZ	TMCC3
SCZ	TMCO6
SCZ	TMED4
SCZ	TMED6
SCZ	TMED9
SCZ	TMEM108
SCZ	TMEM110
SCZ	TMEM110-MUSTN1
SCZ	TMEM125
SCZ	TMEM127
SCZ	TMEM132D
SCZ	TMEM14A
SCZ	TMEM158
SCZ	TMEM161B
SCZ	TMEM161B-AS1
SCZ	TMEM170B
SCZ	TMEM182
SCZ	TMEM194A
SCZ	TMEM200B
SCZ	TMEM214
SCZ	TMEM219
SCZ	TMEM233
SCZ	TMEM55A
SCZ	TMEM81
SCZ	TMEM87A
SCZ	TMEM8C
SCZ	TMPRSS12
SCZ	TMTC1
SCZ	TMUB1
SCZ	TMX1
SCZ	TMX2-CTNND1
SCZ	TNF
SCZ	TNFRSF13C
SCZ	TNFRSF25
SCZ	TNKS
SCZ	TNN
SCZ	TNXB
SCZ	TOB2P1
SCZ	TOM1L2
SCZ	TOMM34
SCZ	TOP1
SCZ	TOP3B
SCZ	TP53BP1
SCZ	TP53BP2
SCZ	TPH2
SCZ	TPPP3
SCZ	TRAF3IP2
SCZ	TRAF3IP2-AS1
SCZ	TRAF6
SCZ	TRAM1L1
SCZ	TRANK1
SCZ	TRAPPC3
SCZ	TRAPPC4
SCZ	TRAPPC9
SCZ	TRDN
SCZ	TRIM10
SCZ	TRIM15
SCZ	TRIM26
SCZ	TRIM27
SCZ	TRIM31
SCZ	TRIM37
SCZ	TRIM39
SCZ	TRIM39-RPP21
SCZ	TRIM40
SCZ	TRIM42
SCZ	TRIM44
SCZ	TRIM8
SCZ	TRIM9
SCZ	TRIP12
SCZ	TRMT61A
SCZ	TRMT61B
SCZ	TROVE2
SCZ	TRPM4
SCZ	TRPM6
SCZ	TRPS1
SCZ	TSHB
SCZ	TSNARE1
SCZ	TSNAXIP1
SCZ	TSPAN2
SCZ	TSSK6
SCZ	TSTA3
SCZ	TTBK1
SCZ	TTC12
SCZ	TTC21B
SCZ	TTC7B
SCZ	TTLL1
SCZ	TTLL11
SCZ	TTLL7
SCZ	TUBB
SCZ	TUBGCP4
SCZ	TWF2
SCZ	TXNL4A
SCZ	TYW5
SCZ	UBA6
SCZ	UBAP2
SCZ	UBE2D2
SCZ	UBE2D3
SCZ	UBE2L6
SCZ	UBE2Q2P1
SCZ	UBE2Q2P3
SCZ	UBE2Z
SCZ	UBE3B
SCZ	UBE3D
SCZ	UBLCP1
SCZ	UBQLN4
SCZ	UBXN7
SCZ	UCP2
SCZ	UCP3
SCZ	UFSP1
SCZ	ULK2
SCZ	UNC119B
SCZ	UNC13B
SCZ	UNC45A
SCZ	UNC79
SCZ	UPF3A
SCZ	UPK2
SCZ	UQCR11
SCZ	USP34
SCZ	VANGL2
SCZ	VARS
SCZ	VARS2
SCZ	VASN
SCZ	VN1R10P
SCZ	VPS29
SCZ	VPS37A
SCZ	VPS39
SCZ	VPS41
SCZ	VPS45
SCZ	VPS4A
SCZ	VPS9D1
SCZ	VRK2
SCZ	VTRNA1-1
SCZ	VTRNA1-2
SCZ	VTRNA1-3
SCZ	VWA3A
SCZ	VWA5A
SCZ	VWA7
SCZ	VWC2L
SCZ	WAC
SCZ	WAC-AS1
SCZ	WAPAL
SCZ	WASL
SCZ	WBP1L
SCZ	WBP2NL
SCZ	WBSCR17
SCZ	WDFY4
SCZ	WDR17
SCZ	WDR55
SCZ	WDR65
SCZ	WDR73
SCZ	WDR76
SCZ	WFDC5
SCZ	WHSC1L1
SCZ	WNT2B
SCZ	WNT3
SCZ	WNT5B
SCZ	WNT8A
SCZ	WNT9B
SCZ	XKR6
SCZ	XPO5
SCZ	XPR1
SCZ	XRCC3
SCZ	XRN2
SCZ	XYLB
SCZ	YIPF3
SCZ	YJEFN3
SCZ	YLPM1
SCZ	YME1L1
SCZ	YPEL1
SCZ	YPEL4
SCZ	YRDC
SCZ	YTHDF2
SCZ	ZAK
SCZ	ZAN
SCZ	ZAR1
SCZ	ZBED4
SCZ	ZBTB1
SCZ	ZBTB12
SCZ	ZBTB22
SCZ	ZBTB25
SCZ	ZBTB37
SCZ	ZBTB48
SCZ	ZBTB9
SCZ	ZC3H3
SCZ	ZCCHC14
SCZ	ZCCHC17
SCZ	ZCCHC6
SCZ	ZCCHC7
SCZ	ZCCHC8
SCZ	ZDHHC1
SCZ	ZDHHC14
SCZ	ZDHHC2
SCZ	ZDHHC20
SCZ	ZDHHC21
SCZ	ZDHHC24
SCZ	ZDHHC5
SCZ	ZDHHC8
SCZ	ZEB2
SCZ	ZFAND2B
SCZ	ZFAND6
SCZ	ZFHX3
SCZ	ZFP28
SCZ	ZFP57
SCZ	ZFYVE21
SCZ	ZHX3
SCZ	ZIC1
SCZ	ZIC4
SCZ	ZKSCAN3
SCZ	ZKSCAN4
SCZ	ZKSCAN8
SCZ	ZMAT2
SCZ	ZMAT4
SCZ	ZNF101
SCZ	ZNF106
SCZ	ZNF12
SCZ	ZNF14
SCZ	ZNF165
SCZ	ZNF184
SCZ	ZNF19
SCZ	ZNF192P1
SCZ	ZNF197
SCZ	ZNF204P
SCZ	ZNF207
SCZ	ZNF215
SCZ	ZNF23
SCZ	ZNF276
SCZ	ZNF281
SCZ	ZNF292
SCZ	ZNF311
SCZ	ZNF318
SCZ	ZNF322
SCZ	ZNF343
SCZ	ZNF35
SCZ	ZNF365
SCZ	ZNF385B
SCZ	ZNF385D
SCZ	ZNF391
SCZ	ZNF408
SCZ	ZNF470
SCZ	ZNF471
SCZ	ZNF493
SCZ	ZNF503-AS2
SCZ	ZNF512
SCZ	ZNF513
SCZ	ZNF528
SCZ	ZNF534
SCZ	ZNF536
SCZ	ZNF578
SCZ	ZNF592
SCZ	ZNF610
SCZ	ZNF638
SCZ	ZNF652
SCZ	ZNF660
SCZ	ZNF664-FAM101A
SCZ	ZNF667-AS1
SCZ	ZNF707
SCZ	ZNF727
SCZ	ZNF778
SCZ	ZNF800
SCZ	ZNF804A
SCZ	ZNF823
SCZ	ZNF833P
SCZ	ZNF880
SCZ	ZNRD1
SCZ	ZNRD1-AS1
SCZ	ZNRF3
SCZ	ZSCAN12
SCZ	ZSCAN12P1
SCZ	ZSCAN16
SCZ	ZSCAN2
SCZ	ZSCAN23
SCZ	ZSCAN29
SCZ	ZSCAN31
SCZ	ZSCAN9
SCZ	ZSWIM6
ANXC_FS	AADAT
ANXC_FS	ABCB6
ANXC_FS	ABI3BP
ANXC_FS	ACADS
ANXC_FS	ACTA1
ANXC_FS	ACTL8
ANXC_FS	ADAM8
ANXC_FS	ADAMTS14
ANXC_FS	ADAMTS19
ANXC_FS	AKR1D1
ANXC_FS	ANKZF1
ANXC_FS	AP4E1
ANXC_FS	APEX1
ANXC_FS	ARHGAP21
ANXC_FS	ARHGEF10L
ANXC_FS	ARSB
ANXC_FS	ATG9A
ANXC_FS	ATP10B
ANXC_FS	ATP1A2
ANXC_FS	ATP1A4
ANXC_FS	ATP9B
ANXC_FS	ATXN7L1
ANXC_FS	BARD1
ANXC_FS	BCL6
ANXC_FS	BIRC6
ANXC_FS	BNIP3L
ANXC_FS	C12orf43
ANXC_FS	C17orf70
ANXC_FS	C17orf77
ANXC_FS	C1orf101
ANXC_FS	C1orf123
ANXC_FS	CABP1
ANXC_FS	CACNA1E
ANXC_FS	CACNB2
ANXC_FS	CAMKMT
ANXC_FS	CASP6
ANXC_FS	CBX6
ANXC_FS	CCDC109B
ANXC_FS	CCDC168
ANXC_FS	CCDC25
ANXC_FS	CD1A
ANXC_FS	CD1D
ANXC_FS	CD300C
ANXC_FS	CD300LB
ANXC_FS	CD300LD
ANXC_FS	CDC42SE2
ANXC_FS	CDH11
ANXC_FS	CFI
ANXC_FS	CLNK
ANXC_FS	CNPPD1
ANXC_FS	COX6C
ANXC_FS	CP
ANXC_FS	CPT2
ANXC_FS	CREB3L2
ANXC_FS	CREB5
ANXC_FS	DCAF13P3
ANXC_FS	DESI2
ANXC_FS	DGKB
ANXC_FS	DKFZp434L192
ANXC_FS	DLGAP2
ANXC_FS	DNAL4
ANXC_FS	DNM1L
ANXC_FS	DPP6
ANXC_FS	DSCAM
ANXC_FS	DSCAM-AS1
ANXC_FS	DUOX1
ANXC_FS	DUOX2
ANXC_FS	DUOXA1
ANXC_FS	DUOXA2
ANXC_FS	DYTN
ANXC_FS	EFHC1
ANXC_FS	ELMO1
ANXC_FS	ENAH
ANXC_FS	F13A1
ANXC_FS	FAM134A
ANXC_FS	FAM19A2
ANXC_FS	FAM65C
ANXC_FS	FGD4
ANXC_FS	GPATCH2L
ANXC_FS	HIVEP3
ANXC_FS	HNF1A
ANXC_FS	HNF1A-AS1
ANXC_FS	HOXB1
ANXC_FS	HPS3
ANXC_FS	IFI44
ANXC_FS	IFI44L
ANXC_FS	IFT43
ANXC_FS	IGSF8
ANXC_FS	INVS
ANXC_FS	ITGA8
ANXC_FS	ITPR2
ANXC_FS	JPH3
ANXC_FS	KCNAB1
ANXC_FS	KCNAB1-AS1
ANXC_FS	KCNIP4
ANXC_FS	KCNJ9
ANXC_FS	KCNN3
ANXC_FS	KIAA1009
ANXC_FS	KIAA1217
ANXC_FS	KIF26B
ANXC_FS	KIF6
ANXC_FS	KNDC1
ANXC_FS	KPTN
ANXC_FS	LHFPL3
ANXC_FS	LHFPL3-AS1
ANXC_FS	LINC00951
ANXC_FS	LOC100128714
ANXC_FS	LOC100130880
ANXC_FS	LOC100131635
ANXC_FS	LOC100505989
ANXC_FS	LOC100506013
ANXC_FS	LOC100506085
ANXC_FS	LOC100507564
ANXC_FS	LOC100996455
ANXC_FS	LOC200726
ANXC_FS	LOC440040
ANXC_FS	LOC441601
ANXC_FS	LOC646268
ANXC_FS	LOC646813
ANXC_FS	LOC648691
ANXC_FS	LOC650226
ANXC_FS	LOC727677
ANXC_FS	LRP8
ANXC_FS	LSP1
ANXC_FS	LYRM7
ANXC_FS	MAGOH
ANXC_FS	MBOAT1
ANXC_FS	MDFIC
ANXC_FS	MDH1B
ANXC_FS	MEIS3
ANXC_FS	METTL21C
ANXC_FS	MFAP3L
ANXC_FS	MIR1200
ANXC_FS	MIR1203
ANXC_FS	MIR202
ANXC_FS	MIR3622A
ANXC_FS	MIR3622B
ANXC_FS	MIR4298
ANXC_FS	MIR4307
ANXC_FS	MIR4700
ANXC_FS	MIR548AD
ANXC_FS	MIR645
ANXC_FS	MLEC
ANXC_FS	MSRA
ANXC_FS	MTRNR2L7
ANXC_FS	MTTP
ANXC_FS	MYOG
ANXC_FS	MYSM1
ANXC_FS	MYT1
ANXC_FS	NAPA-AS1
ANXC_FS	NCKAP5
ANXC_FS	NEGR1
ANXC_FS	NHEJ1
ANXC_FS	NPLOC4
ANXC_FS	NPTXR
ANXC_FS	NUP133
ANXC_FS	NYAP2
ANXC_FS	OASL
ANXC_FS	OR4C12
ANXC_FS	OR4C13
ANXC_FS	OSGEP
ANXC_FS	P2RX7
ANXC_FS	PAQR8
ANXC_FS	PBX1
ANXC_FS	PC
ANXC_FS	PCBP3
ANXC_FS	PCMTD2
ANXC_FS	PDE3B
ANXC_FS	PLA2G12A
ANXC_FS	PNP
ANXC_FS	PPFIA4
ANXC_FS	PRAME
ANXC_FS	PREPL
ANXC_FS	PREX1
ANXC_FS	PRF1
ANXC_FS	PSMA1
ANXC_FS	PTPN1
ANXC_FS	RAB11FIP5
ANXC_FS	RIMBP2
ANXC_FS	RNASE10
ANXC_FS	RTP2
ANXC_FS	SCARA3
ANXC_FS	SCARNA18
ANXC_FS	SFXN5
ANXC_FS	SKAP1
ANXC_FS	SLC15A1
ANXC_FS	SLC22A23
ANXC_FS	SLC23A3
ANXC_FS	SLC3A1
ANXC_FS	SLC8A2
ANXC_FS	SORD
ANXC_FS	SPPL2A
ANXC_FS	SPPL3
ANXC_FS	STX2
ANXC_FS	SUN2
ANXC_FS	SYT8
ANXC_FS	TAPT1
ANXC_FS	TAPT1-AS1
ANXC_FS	TEX10
ANXC_FS	TMEM132B
ANXC_FS	TMEM167A
ANXC_FS	TMEM55B
ANXC_FS	TNNI2
ANXC_FS	TNPO3
ANXC_FS	TPI1P2
ANXC_FS	TPP2
ANXC_FS	TSPAN10
ANXC_FS	TUBGCP2
ANXC_FS	TWSG1
ANXC_FS	UNC119B
ANXC_FS	UST
ANXC_FS	UTF1
ANXC_FS	VCAN
ANXC_FS	VENTX
ANXC_FS	VPS13B
ANXC_FS	WDR59
ANXC_FS	WWOX
ANXC_FS	XRCC4
ANXC_FS	ZCCHC14
ANXC_FS	ZFAND2B
ANXC_FS	ZNF280A
ANXC_FS	ZNF280B
ANXC_FS	ZNF564
ANXC_FS	ZNF709
DS	ABCA17P
DS	ABCA3
DS	ABO
DS	ABT1
DS	ABTB2
DS	ACAD8
DS	ACSS3
DS	ADAMTS18
DS	ADC
DS	ADIPOQ
DS	ADIPOQ-AS1
DS	ADNP2
DS	ADRB2
DS	AHI1
DS	AIG1
DS	AK2
DS	ANAPC13
DS	ANXA2P1
DS	APP
DS	ARFGEF2
DS	ARID3B
DS	ARL4D
DS	ATF2
DS	BAK1
DS	BTN1A1
DS	BTN2A1
DS	BTN2A2
DS	BTN2A3P
DS	BTN3A1
DS	BTN3A2
DS	BTN3A3
DS	C12orf42
DS	C2orf69
DS	C3orf62
DS	C6orf15
DS	C6orf7
DS	CA10
DS	CA8
DS	CACNB2
DS	CARD16
DS	CASP1
DS	CASP5
DS	CAT
DS	CCDC132
DS	CCDC3
DS	CCDC36
DS	CCDC85A
DS	CCHCR1
DS	CDH10
DS	CDKAL1
DS	CDSN
DS	CELF4
DS	CENPA
DS	CEP63
DS	CHN1
DS	CLTA
DS	CNOT10
DS	CNTN5
DS	COG6
DS	COL13A1
DS	CRK
DS	CRYBA1
DS	CSE1L
DS	CSMD1
DS	CTNND2
DS	CTTNBP2
DS	CTXN3
DS	CYMP
DS	DCAF10
DS	DCC
DS	DCPS
DS	DDX41
DS	DLC1
DS	DNAH11
DS	DNAJC11
DS	DOK3
DS	DRD2
DS	DYNC1I1
DS	E2F3
DS	EIF4G3
DS	ELOVL4
DS	EPB41L4B
DS	ERG
DS	ETFB
DS	FAM118B
DS	FAM120A
DS	FAM120AOS
DS	FAM153A
DS	FAM177A1
DS	FAM193B
DS	FARP1
DS	FAT3
DS	FHIT
DS	FKBP1AP1
DS	FOXP2
DS	FOXRED1
DS	FTCDNL1
DS	GGNBP1
